,device,workload,metric,predictor,r2,max_error,mae,mape,medae,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_980ti-avg_pool2d-memory-dTr:1125,cuda_980ti,avg_pool2d,memory,dTr,0.7726797535777895,4.75677490234375,0.27350848018170926,0.3071995912946015,0.1212158203125,0.09747314453125,4.75677490234375,1.0314498155381944,0.51092529296875,1125
cuda_980ti-avg_pool2d-memory-dTr:1500,cuda_980ti,avg_pool2d,memory,dTr,0.7475519147516239,3.95184326171875,0.2626934924953408,0.31359355705997016,0.0911865234375,0.09747314453125,4.75677490234375,1.0116953938802082,0.51092529296875,1500
cuda_980ti-avg_pool2d-memory-dTr:1875,cuda_980ti,avg_pool2d,memory,dTr,0.7927835021807453,4.16827392578125,0.2505536714173988,0.25582748214911144,0.084716796875,0.09747314453125,4.75677490234375,1.0005601236979167,0.51092529296875,1875
cuda_980ti-avg_pool2d-memory-dTr:2250,cuda_980ti,avg_pool2d,memory,dTr,0.8119158652085365,4.16827392578125,0.24010983468117678,0.25411654210399787,0.0858154296875,0.09747314453125,4.75677490234375,0.9872950846354167,0.51092529296875,2250
cuda_980ti-avg_pool2d-memory-dTr:2625,cuda_980ti,avg_pool2d,memory,dTr,0.8101417544171936,3.84234619140625,0.23443324014909478,0.22291766640727706,0.082275390625,0.09747314453125,4.75677490234375,0.9777151925223214,0.51092529296875,2625
cuda_980ti-avg_pool2d-memory-dTr:3000,cuda_980ti,avg_pool2d,memory,dTr,0.8345409295003083,4.16827392578125,0.2191461110140442,0.20640196275493125,0.0819091796875,0.09747314453125,4.75677490234375,0.98428369140625,0.51092529296875,3000
cuda_980ti-avg_pool2d-memory-dTr:3375,cuda_980ti,avg_pool2d,memory,dTr,0.8393248814550138,3.93572998046875,0.21918446111222045,0.20939364650633954,0.072021484375,0.09747314453125,4.75677490234375,0.9772494755497685,0.51092529296875,3375
cuda_980ti-avg_pool2d-memory-dTr:3750,cuda_980ti,avg_pool2d,memory,dTr,0.8454507931872806,4.16827392578125,0.2151664108260117,0.20417384794963117,0.07080078125,0.09747314453125,4.75677490234375,0.9811729817708333,0.51092529296875,3750
cuda_980ti-avg_pool2d-time-liR:375,cuda_980ti,avg_pool2d,time,liR,0.39696212280204424,13.991256266166296,2.2751064237603726,11.377305194501472,1.531320629913496,0.00779846,23.900100000000002,3.610423895413333,1.471,375
cuda_980ti-avg_pool2d-time-liR:750,cuda_980ti,avg_pool2d,time,liR,0.41572451673018096,14.02559251733074,2.224846150338029,10.438061394887857,1.4756374826692604,0.007390109999999999,24.2825,3.453831190533333,1.471,750
cuda_980ti-avg_pool2d-time-liR:1125,cuda_980ti,avg_pool2d,time,liR,0.41457434602574583,14.43899036324139,2.2269348819736914,10.140512491095496,1.5017103632413895,0.007390109999999999,25.921400000000002,3.46267082928,1.471,1125
cuda_980ti-avg_pool2d-time-liR:1500,cuda_980ti,avg_pool2d,time,liR,0.42665104232262807,13.25109038915522,2.20997822743528,10.65640988687752,1.5138389233447813,0.0073323799999999995,25.921400000000002,3.39308625546,1.471,1500
cuda_980ti-avg_pool2d-time-liR:1875,cuda_980ti,avg_pool2d,time,liR,0.4299293121516349,13.121869316772253,2.197315202975628,10.47072944236535,1.5352693167722535,0.0069828600000000005,25.921400000000002,3.378210431989333,1.471,1875
cuda_980ti-avg_pool2d-time-liR:2250,cuda_980ti,avg_pool2d,time,liR,0.42498554246475617,13.603825411887982,2.1902971561167237,9.819026365099049,1.517397088112019,0.0069828600000000005,25.921400000000002,3.3567719933688887,1.471,2250
cuda_980ti-avg_pool2d-time-liR:2625,cuda_980ti,avg_pool2d,time,liR,0.43261292550164754,12.847666045221466,2.1931443153149965,10.113412635471756,1.5166380429319717,0.0069828600000000005,25.921400000000002,3.328920594266667,1.471,2625
cuda_980ti-avg_pool2d-time-liR:3000,cuda_980ti,avg_pool2d,time,liR,0.4335891286855159,12.984185773131474,2.2018692328134155,10.248057872701057,1.5289668018205476,0.0069828600000000005,25.921400000000002,3.3638685189966666,1.471,3000
cuda_980ti-avg_pool2d-time-liR:3375,cuda_980ti,avg_pool2d,time,liR,0.4338479110393576,12.942575354679596,2.190821047190402,9.637762590938312,1.5305478546795954,0.0069828600000000005,25.921400000000002,3.3285193566192595,1.471,3375
cuda_980ti-avg_pool2d-time-liR:3750,cuda_980ti,avg_pool2d,time,liR,0.43474882382364877,12.773991944005598,2.1969672945358902,9.959137908505541,1.5395024440055984,0.0069828600000000005,25.921400000000002,3.344983585341333,1.471,3750
cuda_980ti-avg_pool2d-power-liR:375,cuda_980ti,avg_pool2d,power,liR,0.7022382181485787,197.10716677353003,7.656893014964506,0.04892897496091787,5.924453040590521,99.784,201.978,160.895792,152.5795,375
cuda_980ti-avg_pool2d-power-liR:750,cuda_980ti,avg_pool2d,power,liR,0.7114910704249443,197.290339134541,7.577329527927804,0.04835232058712208,6.129410865458993,65.936,204.491,160.534506,152.5795,750
cuda_980ti-avg_pool2d-power-liR:1125,cuda_980ti,avg_pool2d,power,liR,0.7117599942802337,197.56281505362665,7.568125237399708,0.048375589364523894,6.059934946373346,65.936,206.736,161.50552577777776,152.5795,1125
cuda_980ti-avg_pool2d-power-liR:1500,cuda_980ti,avg_pool2d,power,liR,0.7122494631443278,197.2359730019994,7.579749335169118,0.04842073064397594,6.077178080124412,65.936,207.30149999999998,161.06341066666664,152.5795,1500
cuda_980ti-avg_pool2d-power-liR:1875,cuda_980ti,avg_pool2d,power,liR,0.7127941621908372,197.13460556683518,7.599599285867412,0.04846332975639691,6.121925683164818,65.936,207.30149999999998,160.91724773333334,152.5795,1875
cuda_980ti-avg_pool2d-power-liR:2250,cuda_980ti,avg_pool2d,power,liR,0.7136292755505957,196.68243905572447,7.602811055197476,0.04849595065481629,6.1618765557244615,65.936,207.30149999999998,160.89324577777776,152.5795,2250
cuda_980ti-avg_pool2d-power-liR:2625,cuda_980ti,avg_pool2d,power,liR,0.7129710549362362,197.28117337446724,7.596499779408796,0.0484610877546823,6.125284757992233,65.936,207.30149999999998,160.95687352380952,152.5795,2625
cuda_980ti-avg_pool2d-power-liR:3000,cuda_980ti,avg_pool2d,power,liR,0.7127986600243748,197.23688535731253,7.595378147478493,0.04847075418236356,6.112156843909759,65.936,207.30149999999998,160.92137233333332,152.5795,3000
cuda_980ti-avg_pool2d-power-liR:3375,cuda_980ti,avg_pool2d,power,liR,0.7131399501776774,197.06839427040967,7.597565060035961,0.0484299482491152,6.037269270409666,65.936,207.30149999999998,160.71273777777776,152.5795,3375
cuda_980ti-avg_pool2d-power-liR:3750,cuda_980ti,avg_pool2d,power,liR,0.7125218934502788,197.31702229333388,7.608483110001635,0.048524600887207524,6.088251144166122,65.936,207.30149999999998,160.80174746666665,152.5795,3750
cuda_980ti-avg_pool2d-memory-liR:375,cuda_980ti,avg_pool2d,memory,liR,0.379135864521133,3.209906542862382,0.5761543056057944,1.6997301161894425,0.42211920639195366,0.09747314453125,3.95184326171875,1.1026612955729167,0.51092529296875,375
cuda_980ti-avg_pool2d-memory-liR:750,cuda_980ti,avg_pool2d,memory,liR,0.4072606688035858,3.192818208759801,0.5547295250748738,1.5394872069821186,0.39991049391605105,0.09747314453125,3.96026611328125,1.0405916341145833,0.51092529296875,750
cuda_980ti-avg_pool2d-memory-liR:1125,cuda_980ti,avg_pool2d,memory,liR,0.41072452990537167,3.1864915661226463,0.5549353604167693,1.5346307382405673,0.3995652965913963,0.09747314453125,4.75677490234375,1.0314498155381944,0.51092529296875,1125
cuda_980ti-avg_pool2d-memory-liR:1500,cuda_980ti,avg_pool2d,memory,liR,0.4167176870468132,2.9403420451110787,0.5537820220156662,1.5488645387610622,0.41061792401732866,0.09747314453125,4.75677490234375,1.0116953938802082,0.51092529296875,1500
cuda_980ti-avg_pool2d-memory-liR:1875,cuda_980ti,avg_pool2d,memory,liR,0.4223610434522308,2.899944358468397,0.5501053313890714,1.5066989825371766,0.4042778545621466,0.09747314453125,4.75677490234375,1.0005601236979167,0.51092529296875,1875
cuda_980ti-avg_pool2d-memory-liR:2250,cuda_980ti,avg_pool2d,memory,liR,0.4241183068750607,2.9461103810047193,0.5468995597074158,1.4618924367062984,0.39526809584846934,0.09747314453125,4.75677490234375,0.9872950846354167,0.51092529296875,2250
cuda_980ti-avg_pool2d-memory-liR:2625,cuda_980ti,avg_pool2d,memory,liR,0.42760818886591745,2.840735283973057,0.5461505241624387,1.4670067966807185,0.39274429128977517,0.09747314453125,4.75677490234375,0.9777151925223214,0.51092529296875,2625
cuda_980ti-avg_pool2d-memory-liR:3000,cuda_980ti,avg_pool2d,memory,liR,0.4269117451028599,2.878828288144567,0.5465863314253085,1.4705998625138768,0.3973860437320722,0.09747314453125,4.75677490234375,0.98428369140625,0.51092529296875,3000
cuda_980ti-avg_pool2d-memory-liR:3375,cuda_980ti,avg_pool2d,memory,liR,0.4286992255273615,2.812393128792266,0.5439108233648848,1.436104313152069,0.38423150769851566,0.09747314453125,4.75677490234375,0.9772494755497685,0.51092529296875,3375
cuda_980ti-avg_pool2d-memory-liR:3750,cuda_980ti,avg_pool2d,memory,liR,0.42834063247110155,2.834158596657822,0.5454968811887727,1.454047356279792,0.3933321806421972,0.09747314453125,4.75677490234375,0.9811729817708333,0.51092529296875,3750
cuda_980ti-avg_pool2d-time-kNN:375,cuda_980ti,avg_pool2d,time,kNN,0.38966482982473016,16.05833339287602,1.9757940650473533,2.5883760352611875,1.099087263424588,0.00779846,23.900100000000002,3.610423895413333,1.471,375
cuda_980ti-avg_pool2d-time-kNN:750,cuda_980ti,avg_pool2d,time,kNN,0.4684172505467834,18.293393479537386,1.7683780676418772,2.1346558028519307,0.9372754772025099,0.007390109999999999,24.2825,3.453831190533333,1.471,750
cuda_980ti-avg_pool2d-time-kNN:1125,cuda_980ti,avg_pool2d,time,kNN,0.5185451377173178,19.209200668702373,1.6614102492149352,1.8159301558468022,0.7962729364744439,0.007390109999999999,25.921400000000002,3.46267082928,1.471,1125
cuda_980ti-avg_pool2d-time-kNN:1500,cuda_980ti,avg_pool2d,time,kNN,0.5835894128588655,19.30372602976018,1.5629165286987041,1.6383202328782207,0.7688045821138934,0.0073323799999999995,25.921400000000002,3.39308625546,1.471,1500
cuda_980ti-avg_pool2d-time-kNN:1875,cuda_980ti,avg_pool2d,time,kNN,0.6187400150209996,18.196340161814593,1.5116003672402119,1.6173077332572334,0.7539026457991145,0.0069828600000000005,25.921400000000002,3.378210431989333,1.471,1875
cuda_980ti-avg_pool2d-time-kNN:2250,cuda_980ti,avg_pool2d,time,kNN,0.6242591487327402,19.013816356151686,1.503171693121155,1.4723889232931597,0.7273608772544049,0.0069828600000000005,25.921400000000002,3.3567719933688887,1.471,2250
cuda_980ti-avg_pool2d-time-kNN:2625,cuda_980ti,avg_pool2d,time,kNN,0.6333276883026087,19.010031830068122,1.4630822776337111,1.37441112372335,0.6688090945368028,0.0069828600000000005,25.921400000000002,3.328920594266667,1.471,2625
cuda_980ti-avg_pool2d-time-kNN:3000,cuda_980ti,avg_pool2d,time,kNN,0.6439865870050663,19.184698832891858,1.4267741370175835,1.3409791723627518,0.6206743451069432,0.0069828600000000005,25.921400000000002,3.3638685189966666,1.471,3000
cuda_980ti-avg_pool2d-time-kNN:3375,cuda_980ti,avg_pool2d,time,kNN,0.6724373789552327,19.268405811394395,1.37054789008196,1.3232998023665166,0.5973917100654429,0.0069828600000000005,25.921400000000002,3.3285193566192595,1.471,3375
cuda_980ti-avg_pool2d-time-kNN:3750,cuda_980ti,avg_pool2d,time,kNN,0.6741960282265556,19.28935670690234,1.3600563128113172,1.2969367993152434,0.5825022104408673,0.0069828600000000005,25.921400000000002,3.344983585341333,1.471,3750
